dataset,term,true_coefficient,is_true_signal,note
A_wide_housing,Intercept,48000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,area_sqft,125,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,bathrooms,21000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,garage_size,24000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,age_years,-1300,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,renovation_score,3800,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,energy_efficiency,42000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,distance_to_center,-3100,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,school_quality,18000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,crime_index,-8500,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,walkability_score,320,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,neighborhood_Central,65000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,neighborhood_Suburban,30000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,neighborhood_Riverside,42000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,neighborhood_Industrial,-25000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,neighborhood_Hillside,70000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,building_type_Detached,25000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,building_type_Townhouse,10000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,building_type_Condo,-15000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,building_type_Duplex,5000,TRUE,"Data-generating effect; categorical effects are relative to implicit zero coding, not a dropped-reference OLS parameter."
A_wide_housing,bedrooms,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,lot_size,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,median_income_area,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,property_tax_rate,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,mortgage_rate_proxy,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,transit_score,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,area_m2,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,living_area_proxy,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,rooms_total,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,lot_size_log,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,condition_index,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,location_desirability,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,income_proxy,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,heating_type,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_loc_01,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_loc_02,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_loc_03,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_loc_04,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_loc_05,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_size_06,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_size_07,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_size_08,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_size_09,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,noise_size_10,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_11,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_12,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_13,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_14,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_15,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_16,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_17,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_18,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_19,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_20,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_21,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_22,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_23,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_24,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_25,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_26,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_27,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_28,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_29,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,random_noise_30,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_01,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_02,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_03,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_04,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_05,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_06,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_07,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_08,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_09,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
A_wide_housing,synthetic_feature_10,0,FALSE,Not a direct term in the data-generating formula; may still correlate with true predictors.
